City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,markaz-e hukumat-e darweshan,31.1323,64.1934,301.15,20,0,2.69,AF,1720827667
349,portland,45.5234,-122.6762,305.14,41,0,5.14,US,1720827426
350,'ain el bell,34.3438,3.2247,304.03,16,69,4.04,DZ,1720827669
351,ippy,6.2679,21.2247,294.19,98,100,1.4,CF,1720827670
352,ramapuram,13.1167,79.2,298.03,77,100,8.99,IN,1720827671
353,cabo san lucas,22.8909,-109.9124,303.76,63,0,6.69,MX,1720827645
354,del rio,29.3627,-100.8968,308.21,45,0,6.69,US,1720827674
355,defiance,41.3334,-84.45,302.14,58,20,2.06,US,1720827675
356,oranjemund,-28.55,16.4333,285.74,82,1,2.52,NA,1720827678
357,ramotswa,-24.8716,25.8699,285.27,16,0,1.22,BW,1720827679
358,tazovsky,67.4667,78.7,285.64,95,26,4.41,RU,1720827680
359,kasese,0.1833,30.0833,294.07,80,57,1.23,UG,1720827682
360,saint-georges,12.0564,-61.7485,297.97,94,75,0.0,GD,1720827683
361,kalix,65.853,23.1565,287.61,96,66,3.99,SE,1720827684
